"x"
"1";"jaar"
"2";"uitraster_perc"
"3";"uitraster_afstand_sloot_m"
"4";"afscheur_veg_lengte_perc"
"5";"afscheur_veg_breedte_cm"
"6";"beheersporen_water1_2a_hoeveel"
"7";"beheersporen_oever2b_3_hoeveel"
"8";"peilsporen_hoeveel"
"9";"watermonster_subsamples"
"10";"watertemp_C"
"11";"water_conductiviteit_uS_cm"
"12";"water_redox"
"13";"water_pH"
"14";"water_O2_mgL"
"15";"doorzicht1_mid_cm"
"16";"waterdiepte1_mid_cm"
"17";"bodemdiepte1_mid_cm"
"18";"doorzicht2_mid_cm"
"19";"waterdiepte2_mid_cm"
"20";"bodemdiepte2_mid_cm"
"21";"holleoever"
"22";"holleoever2"
"23";"holleoever3"
"24";"holleoever4"
"25";"holleoever5"
"26";"doorzicht3_mid_cm"
"27";"waterdiepte3_mid_cm"
"28";"bodemdiepte3_mid_cm"
"29";"profiel_subsamples"
"30";"peneterometer_subsamples"
"31";"slib_conductiviteit_uS_cm"
"32";"slib_pH"
"33";"slib_O2_mgL"
"34";"slib_redox_mgL"
"35";"slib_temp_c"
"36";"uitraster_perc_slootid"
"37";"uitraster_afstand_sloot_m_slootid"
"38";"beheersporen_oever2b_3_hoeveel_slootid"
"39";"beheersporen_water1_2a_hoeveel_slootid"
"40";"afscheur_veg_lengte_perc_slootid"
"41";"afscheur_veg_breedte_cm_slootid"
"42";"peilsporen_hoeveel_slootid"
"43";"porievochtmonster_subsamples"
"44";"slibmonster_subsamples"
"45";"bodemmonster_water_subsamples"
"46";"bodemmonster_oeverzone2b3_subsamples"
"47";"bodemmonster_oever2b3_boven_subsamples"
"48";"bodemmonster_oeverzone2b3_diep_subsamples"
"49";"Start_traject_long_abio"
"50";"Start_traject_lat_abio"
"51";"End_traject_long_abio"
"52";"End_traject_lat_abio"
"53";"End_traject_accur_m"
"54";"ondergrondse_drainage_drainagebuis_greppel"
"55";"ondergrondse_drainage_niet_zichtbaar"
"56";"jaar_abio"
"57";"Sloot_nr"
"58";"vera_zone_1"
"59";"vera_zone_2"
"60";"vera_zone_3"
"61";"Start_traject_long"
"62";"Start_traject_lat"
"63";"End_traject_long"
"64";"End_traject_lat"
"65";"Complete data"
"66";"ndatum"
"67";"sectie_2"
"68";"max_slib"
"69";"max_wtd"
"70";"watbte"
"71";"oevbte"
"72";"drglg"
"73";"drglg_2"
"74";"tldk_wtrwtr_perc"
"75";"tldk_oevrwtr_perc"
"76";"tldk_vastbodem_perc"
"77";"max_hgt_or"
"78";"wl"
"79";"jaar.1"
"80";"indringingsweerstand_insteek_[0,10]"
"81";"indringingsweerstand_insteek_(10,20]"
"82";"indringingsweerstand_insteek_(20,30]"
"83";"indringingsweerstand_insteek_(30,40]"
"84";"indringingsweerstand_insteek_(40,50]"
"85";"indringingsweerstand_insteek_(50,85]"
"86";"indringingsweerstand_oever_[0,10]"
"87";"indringingsweerstand_oever_(10,20]"
"88";"indringingsweerstand_oever_(20,30]"
"89";"indringingsweerstand_oever_(30,40]"
"90";"indringingsweerstand_oever_(40,50]"
"91";"indringingsweerstand_oever_(50,85]"
"92";"indringingsweerstand_perceel_[0,10]"
"93";"indringingsweerstand_perceel_(10,20]"
"94";"indringingsweerstand_perceel_(20,30]"
"95";"indringingsweerstand_perceel_(30,40]"
"96";"indringingsweerstand_perceel_(40,50]"
"97";"indringingsweerstand_perceel_(50,85]"
"98";"indringingsweerstand_min_insteek_[0,10]"
"99";"indringingsweerstand_min_insteek_(10,20]"
"100";"indringingsweerstand_min_insteek_(20,30]"
"101";"indringingsweerstand_min_insteek_(30,40]"
"102";"indringingsweerstand_min_insteek_(40,50]"
"103";"indringingsweerstand_min_insteek_(50,85]"
"104";"indringingsweerstand_min_oever_[0,10]"
"105";"indringingsweerstand_min_oever_(10,20]"
"106";"indringingsweerstand_min_oever_(20,30]"
"107";"indringingsweerstand_min_oever_(30,40]"
"108";"indringingsweerstand_min_oever_(40,50]"
"109";"indringingsweerstand_min_oever_(50,85]"
"110";"indringingsweerstand_min_perceel_[0,10]"
"111";"indringingsweerstand_min_perceel_(10,20]"
"112";"indringingsweerstand_min_perceel_(20,30]"
"113";"indringingsweerstand_min_perceel_(30,40]"
"114";"indringingsweerstand_min_perceel_(40,50]"
